auction_ending,category,city,currency,data_id,extra_fields,item_category,item_category_id,item_custom_info,item_detail,item_main_category,item_main_category_id,item_source_sub_category_id,item_sub_category,item_title,item_url,make,model,price,price_original,requrl,serial_number,source_item_id,thumbbnail_url,thumbnail_s3_path,title,url,vendor_city,vendor_contact,vendor_location,vendor_name,vendor_state,vendor_url,year
,"{'cat1_name': 'Backhoe Loaders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2017 Caterpillar 416F2STLRC,https://www.constructionequipmentguide.com/used-equipment/caterpillar/backhoe-loaders/416f2stlrc/id/38257503,,,,,https://www.constructionequipmentguide.com/used-backhoe-loaders-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Backhoe Loaders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2017 Caterpillar 416F2STLRC,https://www.constructionequipmentguide.com/used-equipment/caterpillar/backhoe-loaders/416f2stlrc/id/38257504,,,,,https://www.constructionequipmentguide.com/used-backhoe-loaders-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Backhoe Loaders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2017 Caterpillar 416F2STLRC,https://www.constructionequipmentguide.com/used-equipment/caterpillar/backhoe-loaders/416f2stlrc/id/38257508,,,,,https://www.constructionequipmentguide.com/used-backhoe-loaders-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Air Compressors', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2018 Doosan Portable Power HP1600 T4F,https://www.constructionequipmentguide.com/used-equipment/doosan-portable-power/air-compressors/hp1600_t4f/id/35178979,,,,,https://www.constructionequipmentguide.com/used-air-compressors-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Air Compressors', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2016 Atlas Copco XAS 1800 IT4,https://www.constructionequipmentguide.com/used-equipment/atlas-copco/air-compressors/xas_1800_it4/id/26620452,,,,,https://www.constructionequipmentguide.com/used-air-compressors-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Air Compressors', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2012 Sullair 1600HAF,https://www.constructionequipmentguide.com/used-equipment/sullair/air-compressors/1600haf/id/32886133,,,,,https://www.constructionequipmentguide.com/used-air-compressors-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Air Compressors', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2012 Sullair 1600HAF,https://www.constructionequipmentguide.com/used-equipment/sullair/air-compressors/1600haf/id/30073409,,,,,https://www.constructionequipmentguide.com/used-air-compressors-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Air Compressors', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2014 Doosan Portable Power HP1600 T4i,https://www.constructionequipmentguide.com/used-equipment/doosan-portable-power/air-compressors/hp1600_t4i/id/22943373,,,,,https://www.constructionequipmentguide.com/used-air-compressors-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Air Compressors', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2014 Doosan Portable Power HP1600 T4i,https://www.constructionequipmentguide.com/used-equipment/doosan-portable-power/air-compressors/hp1600_t4i/id/31828400,,,,,https://www.constructionequipmentguide.com/used-air-compressors-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Air Compressors', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2012 Sullair 1600HAF,https://www.constructionequipmentguide.com/used-equipment/sullair/air-compressors/1600haf/id/30046447,,,,,https://www.constructionequipmentguide.com/used-air-compressors-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Air Compressors', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2006 Sullair 1600HAF,https://www.constructionequipmentguide.com/used-equipment/sullair/air-compressors/1600haf/id/32892809,,,,,https://www.constructionequipmentguide.com/used-air-compressors-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Air Compressors', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2013 Doosan Portable Power HP1600 T4i,https://www.constructionequipmentguide.com/used-equipment/doosan-portable-power/air-compressors/hp1600_t4i/id/30431463,,,,,https://www.constructionequipmentguide.com/used-air-compressors-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Air Compressors', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2013 Doosan Portable Power HP1600 T4i,https://www.constructionequipmentguide.com/used-equipment/doosan-portable-power/air-compressors/hp1600_t4i/id/31467094,,,,,https://www.constructionequipmentguide.com/used-air-compressors-for-sale/,,,,,,,,,,,,,
